run_date,seed,target,train_end,validation_end,test_end,maturity_rule,lightgbm_best_iteration,model,cohort,review_fraction,sample_count,positive_count,prevalence,pr_auc,roc_auc,top_k,precision_at_k,recall_at_k,source
2026-08-02,42,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,58,point_in_time_lightgbm,test_all,0.05,10554,222,0.021034679,0.079154149,0.818993645,528,0.128787879,0.306306306,notebooks/02_project/05_point_in_time_and_bond_audit.ipynb
2026-08-02,42,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,58,point_in_time_lightgbm,test_seen,0.05,8119,166,0.020445868,0.102475877,0.866899511,406,0.105911330,0.259036145,notebooks/02_project/05_point_in_time_and_bond_audit.ipynb
2026-08-02,42,is_pastdue90,2017-08-01,2018-04-30,2018-12-19,due_date_plus_90_before_boundary,58,point_in_time_lightgbm,test_cold_start,0.05,2435,56,0.022997947,0.026480200,0.584691947,122,0.000000000,0.000000000,notebooks/02_project/05_point_in_time_and_bond_audit.ipynb
